,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
681,94117,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,682,3887.5,3750,3995,4200,4500,4495,4395,4400,4150,3995,3995,3850,3897.5,3947.5,3987.5,3995,4150,4450,4295,4250,4295,4200,4122.5,4147.5,4000,4000,3995,3995,3900,3995,4150,4200,4197
704,94102,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,705,4550,4567,4552.5,4580,4752.5,4675,4810,4997.5,5000,4800,4800,4550,4392.5,4505,4542.5,4550,4800,5100,5100,4847.5,5195,4800,4811,4861,4795,4550,4962.5,5098.5,5387.5,5240,5098.5,4960,5110
717,94121,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,718,3700,3597.5,3650,3500,3495,3495,3700,3800,3485,3497.5,3400,3537.5,3537.5,3695,3600,3625,3495,3500,3500,3600,3500,3400,3300,3500,3597.5,3550,3695,3500,3537.5,3495,3465,3500,3450
801,94546,Castro Valley,CA,San Francisco-Oakland-Hayward,Alameda County,3,802,2189,2250,2102.5,2200,2200,2200,2300,2300,2227.5,2300,2270,2197.5,2155,2150,2000,2250,2250,2250,2252.5,2250,2200,2200,2297.5,2330,2250,2330,2295,2300,2305,2425,2350,2372.5,2350
805,94118,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,805,3450,3650,3500,3495,3600,3693.5,3825,3847.5,3772.5,3800,3700,3600,3500,3500,3625,3795,3725,3700,3995,3800,3937.5,3895,3650,3697.5,3850,3600,3600,3750,3600,3695,3750,3750,3800
820,94403,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,3,821,2891.5,3014,3172.5,3025,2991,3073.5,3049.5,3082,3129,3151,3009,3011.5,3104,3119,3234.5,3177,3600,3990,3975,3949.5,3867,3949,3901.5,3775,3733,3647.5,3508,3685,3969,3950,3988,3872,3720.5
883,94114,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,884,4725,4662.5,4299.5,4500,4400,4350,4300,4500,4500,4725,4675,4600,4645,4725,4875,4850,4875,4800,4800,4725,4747.5,4500,4595,4475,4485,4500,4685,4768,4950,4800,4975,5035.5,5150
888,94103,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,889,4745,4800,4645,4737.5,4365,4400,4725,4600,4500,4596,4500,4567.5,4500,4638,4600,4600,4685,4831,4872.5,4858.5,4895,4810,4567.5,4457,4755,4593.5,4766,4830,4900,4884.5,4968.5,4911.5,4895
906,94107,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3,907,4660,4673.5,4430,4700,4900,4996,4960,4795,4747.5,4662.5,4717.5,4685,4750,4682.5,4692.5,4726,4785,4895,4881,4886,4886,4981,4924.5,4858,4795,4811,4850,4865,4935,4979,4999,5034,5080
936,94566,Pleasanton,CA,San Francisco-Oakland-Hayward,Alameda County,3,937,2473,2513,2570,2600,2667,2675.5,2668.5,2800,2580,2500,2539,2531.5,2561,2700,2700,2585,2620,2659,2677.5,2703,2649.5,2647,2606,2645,2636,2658,3062.5,2710,2792.5,2870,2900,2627.5,2665
983,94025,Menlo Park,CA,San Francisco-Oakland-Hayward,San Mateo County,3,984,3295,3500,3750,3800,4020,4150,3799.5,3900,3969,3959.5,3895,3699,3800,3900,3750,3970,4000,4100,4105,4025.5,4000,4000,4000,3795,3950,3955,4105,3929,3725,4365,4405,4432,4250
1141,94608,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,3,1142,3235,3400,3187,3200,3250,3500,3395,3395,3399,3275,3300,3250,3314,3251,3379,3309,3350,3400,3307,3437,3400,3200,3200,3280,3300,3425,3358,3285,3222.5,3345,3386.5,3403,3390
1158,95126,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3,1159,2905,2800,2887,2887,2920,2980,3125,3236,3100,2976,2955,3067.5,3125,3081,3056,3205,3215,3250,3290,3260,3200,3350,3507.5,3301,3276,3320,3550,3500,3530,3498.5,3505,3605,3507.5
